"Lines" "Lon" "VehicleNumber" "Time" "Lat" "Brigade" "get_timestamp"
"8" "7" 20.958456 "3205" "2022-02-07 08:19:35" 52.190544 "012" "2022-02-07 08:19:44"
"9" "7" 20.974394 "3207" "2022-02-07 08:19:37" 52.20851 "5" "2022-02-07 08:19:44"
"10" "7" 20.94463 "3211" "2022-02-07 08:19:34" 52.176422 "6" "2022-02-07 08:19:44"
"11" "7" 21.002928 "3289" "2022-02-07 08:19:36" 52.22797 "9" "2022-02-07 08:19:44"
"1" "7" 20.943846 "3012" "2022-02-07 08:20:32" 52.17599 "7" "2022-02-07 08:20:44"
"2" "7" 21.044031 "3016" "2022-02-07 08:17:43" 52.23657 "1" "2022-02-07 08:20:44"
"3" "7" 20.987942 "3022" "2022-02-07 08:20:35" 52.22392 "4" "2022-02-07 08:20:44"
"4" "7" 21.04422 "3027" "2022-02-07 08:20:36" 52.248943 "3" "2022-02-07 08:20:44"
"5" "7" 21.015919 "3029" "2022-02-07 08:20:34" 52.230793 "011" "2022-02-07 08:20:44"
"6" "7" 20.977434 "3122" "2022-02-07 08:20:34" 52.21202 "8" "2022-02-07 08:20:44"
"7" "7" 21.059965 "3203" "2022-02-07 08:20:34" 52.2585 "2" "2022-02-07 08:20:44"
"8" "7" 20.958456 "3205" "2022-02-07 08:20:32" 52.190544 "012" "2022-02-07 08:20:44"
"9" "7" 20.976112 "3207" "2022-02-07 08:20:34" 52.210594 "5" "2022-02-07 08:20:44"
"10" "7" 20.947144 "3211" "2022-02-07 08:20:31" 52.179176 "6" "2022-02-07 08:20:44"
"11" "7" 21.00192 "3289" "2022-02-07 08:20:36" 52.22766 "9" "2022-02-07 08:20:44"
"1" "7" 20.943888 "3012" "2022-02-07 08:21:27" 52.17599 "7" "2022-02-07 08:21:45"
"2" "7" 21.023548 "3016" "2022-02-07 08:21:14" 52.232365 "1" "2022-02-07 08:21:45"
"3" "7" 20.988214 "3022" "2022-02-07 08:21:25" 52.224182 "4" "2022-02-07 08:21:45"
"4" "7" 21.043451 "3027" "2022-02-07 08:21:26" 52.249157 "3" "2022-02-07 08:21:45"
"5" "7" 21.019844 "3029" "2022-02-07 08:21:26" 52.231644 "011" "2022-02-07 08:21:45"
"6" "7" 20.976711 "3122" "2022-02-07 08:21:29" 52.211323 "8" "2022-02-07 08:21:45"
"7" "7" 21.056934 "3203" "2022-02-07 08:21:26" 52.25761 "2" "2022-02-07 08:21:45"
"8" "7" 20.95611 "3205" "2022-02-07 08:21:25" 52.187958 "012" "2022-02-07 08:21:45"
"9" "7" 20.977457 "3207" "2022-02-07 08:21:27" 52.21205 "5" "2022-02-07 08:21:45"
"10" "7" 20.948568 "3211" "2022-02-07 08:21:14" 52.180466 "6" "2022-02-07 08:21:45"
"11" "7" 20.996597 "3289" "2022-02-07 08:21:26" 52.226643 "9" "2022-02-07 08:21:45"
"1" "7" 20.943876 "3012" "2022-02-07 08:22:27" 52.175987 "7" "2022-02-07 08:22:45"
"2" "7" 21.01958 "3016" "2022-02-07 08:22:27" 52.23151 "1" "2022-02-07 08:22:45"
"3" "7" 20.988565 "3022" "2022-02-07 08:22:25" 52.22446 "4" "2022-02-07 08:22:45"
"4" "7" 21.043024 "3027" "2022-02-07 08:22:26" 52.24939 "3" "2022-02-07 08:22:45"
"5" "7" 21.021633 "3029" "2022-02-07 08:22:08" 52.232014 "011" "2022-02-07 08:22:45"
"6" "7" 20.97665 "3122" "2022-02-07 08:22:24" 52.211334 "8" "2022-02-07 08:22:45"
"7" "7" 21.053806 "3203" "2022-02-07 08:22:24" 52.2567 "2" "2022-02-07 08:22:45"
